Company_Names,Jobs,Salery,Location,Industry,About,Review,Rating
Aditya Birla Fashion and Retail,90,13.1k, Bengaluru ,Fashion & Textile,Fashion & Textile | Bengaluru +293 other locations,4.6k,4.0
Cars24,63,15.5k, Gurugram ,Internet,Internet | Gurugram +171 other locations,4.6k,3.5
Home Credit Finance,91,9.4k, Gurugram ,NBFC,NBFC | Gurugram +139 other locations,4.6k,4.0
L&T Finance,--,11.6k, Mumbai ,NBFC,NBFC | Mumbai +641 other locations,4.5k,3.9
Mahindra Logistics,139,12.9k, Mumbai ,Logistics,Logistics | Mumbai +234 other locations,4.5k,3.7
Havells,23,14.7k, Noida ,Electrical Equipment,Electrical Equipment | Noida +263 other locations,4.5k,3.9
Dell,30,28.8k, Bengaluru ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Bengaluru +118 other locations,4.5k,3.8
R1 RCM,199,21.9k, New Delhi ,BPO,BPO | New Delhi +46 other locations,4.5k,3.8
Intas Pharmaceuticals,47,17.2k, Ahmedabad ,Pharma,Pharma | Ahmedabad +150 other locations,4.5k,4.1
OPPO,5,11.8k, Greater Noida ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Greater Noida +412 other locations,4.5k,3.9
Tata AIA Life Insurance,751,14k, Mumbai ,Insurance,Insurance | Mumbai +448 other locations,4.4k,3.9
Hetero,79,15.3k, Hyderabad ,Pharma,Pharma | Hyderabad +70 other locations,4.4k,3.9
Deutsche Bank,616,36.9k, Pune ,Banking,Banking | Pune +42 other locations,4.4k,3.8
Hyundai Motor India Limited,--,14.2k, Chennai ,Automobile,Automobile | Chennai +287 other locations,4.4k,4.1
Berger Paints,107,10.4k, Kolkata ,Chemicals,Chemicals | Kolkata +361 other locations,4.4k,3.7
Motilal Oswal Financial Services,41,13k, Mumbai ,Financial Services,Financial Services | Mumbai +170 other locations,4.4k,3.7
TeamLease Services,2,16.2k, Bengaluru ,Recruitment,Recruitment | Bengaluru +401 other locations,4.3k,3.9
Lenskart,181,13k, New Delhi ,Internet,Internet | New Delhi +244 other locations,4.3k,3.3
VE Commercial Vehicles,1,14.1k, Indore ,Automobile,Automobile | Indore +181 other locations,4.3k,3.9
Thermax Limited,62,13.2k, Pune ,Industrial Machinery,Industrial Machinery | Pune +255 other locations,4.2k,4.2
Macleods Pharmaceuticals,10,15.6k, Mumbai ,Pharma,Pharma | Mumbai +135 other locations,4.2k,3.7
Bajaj Auto,--,14.5k, Pune ,Automobile,Automobile | Pune +321 other locations,4.2k,3.8
Jubilant Foods Works,319,9.6k, New Delhi ,Hospitality,Hospitality | New Delhi +263 other locations,4.2k,3.7
Aakash Educational Services,106,13.8k, New Delhi ,Education & Training,Education & Training | New Delhi +248 other locations,4.2k,3.2
Kogta Financial India Limited,137,1.9k, Jaipur ,NBFC,NBFC | Jaipur +261 other locations,4.1k,4.7
LG Electronics,--,11.2k, Pune ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Pune +300 other locations,4.1k,3.9
Hindalco Industries,12,12.8k, Sambalpur ,Metals & Mining,Metals & Mining | Sambalpur +129 other locations,4.1k,4.2
Jindal Steel Limited,51,15.7k, Angul ,Iron & Steel,Iron & Steel | Angul +175 other locations,4.1k,3.9
State Street Corporation,6,32.5k, Bengaluru ,Financial Services,Financial Services | Bengaluru +35 other locations,4.1k,3.5
Royal Enfield,16,14.9k, Chennai ,Automobile,Automobile | Chennai +377 other locations,4.1k,4.2
DCB Bank,21,9.8k, Mumbai ,Banking,Banking | Mumbai +346 other locations,4k,3.8
HDFC Ergo General Insurance,311,12.1k, Mumbai ,Insurance,Insurance | Mumbai +328 other locations,4k,4.0
Tata Communications,234,23.5k, Pune ,Telecom,Telecom | Pune +102 other locations,4k,3.9
John Deere,3,15.4k, Pune ,Industrial Machinery,Industrial Machinery | Pune +154 other locations,4k,4.0
RBL Bank,33,18.4k, Mumbai ,Banking,Banking | Mumbai +289 other locations,4k,3.5
Cummins,84,15.6k, Pune ,Industrial Machinery,Industrial Machinery | Pune +116 other locations,3.9k,4.3
Publicis Sapient,208,31.4k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +46 other locations,3.9k,3.3
Bank of America,--,29k, Gurugram ,Banking,Banking | Gurugram +35 other locations,3.9k,4.1
Alembic Pharmaceuticals,66,15.4k, Vadodara ,Pharma,Pharma | Vadodara +188 other locations,3.9k,3.9
Pidilite Industries,21,11.6k, Mumbai ,Chemicals,Chemicals | Mumbai +320 other locations,3.9k,4.2
Oyo Rooms,158,14.2k, Gurugram ,Internet,Internet | Gurugram +121 other locations,3.9k,3.0
American Express,145,25.2k, Gurugram ,Financial Services,Financial Services | Gurugram +55 other locations,3.8k,4.1
Subros,1,12.5k, Noida ,Auto Components,Auto Components | Noida +90 other locations,3.8k,3.8
Aditya Birla Sun Life Insurance,1,10k, Mumbai ,Insurance,Insurance | Mumbai +495 other locations,3.8k,4.0
Grasim Industries,5,12.9k, Bharuch ,Building Material,Building Material | Bharuch +249 other locations,3.8k,4.0
Kyndryl,2,26.6k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +38 other locations,3.8k,4.0
Reliance Communications,--,9.4k, Mumbai ,Telecom,Telecom | Mumbai +468 other locations,3.8k,4.0
Altruist Technologies,5,8.3k, Bengaluru ,BPO,BPO | Bengaluru +43 other locations,3.8k,4.4
Carelon Global Solutions,57,28.5k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +21 other locations,4.2k,3.9
PNB MetLife,16,8.2k, New Delhi ,Insurance,Insurance | New Delhi +425 other locations,3.8k,3.4
XpressBees,10,8.2k, Pune ,Logistics,Logistics | Pune +479 other locations,3.8k,4.2
ADP Private Limited,62,22.1k, Hyderabad ,Software Product,Software Product | Hyderabad +41 other locations,3.8k,3.9
Aditya Birla Capital,3,14k, Mumbai ,NBFC,NBFC | Mumbai +344 other locations,3.8k,3.8
Viatris,5,14.1k, Hyderabad ,Pharma,Pharma | Hyderabad +80 other locations,3.8k,4.1
PVR INOX,22,9.4k, New Delhi ,Media & Entertainment,Media & Entertainment | New Delhi +149 other locations,3.8k,3.9
Escorts Kubota Limited,3,13.5k, Faridabad ,Automobile,Automobile | Faridabad +158 other locations,3.8k,4.1
Maersk,46,19.1k, Chennai ,Logistics,Logistics | Chennai +49 other locations,3.7k,4.0
Cloudnine Hospital,17,3k, Bengaluru ,Healthcare,Healthcare | Bengaluru +46 other locations,3.7k,4.5
KPIT Technologies,44,23.3k, Pune ,Software Product,Software Product | Pune +43 other locations,3.7k,2.9
Synechron,180,28.3k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +33 other locations,3.7k,3.4
Birlasoft,533,30k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +50 other locations,3.7k,3.5
JK Cement,2,9.8k, New Delhi ,Building Material,Building Material | New Delhi +333 other locations,3.7k,4.0
Glenmark Pharmaceuticals,34,12.3k, Mumbai ,Pharma,Pharma | Mumbai +187 other locations,3.7k,3.8
Dabur,15,8.9k, New Delhi ,FMCG,FMCG | New Delhi +321 other locations,3.7k,3.8
Sodexo,679,9.9k, Mumbai ,Facility Management Services,Facility Management Services | Mumbai +160 other locations,3.7k,4.0
Bharat Electronics,1,12.6k, Bengaluru ,Electronics Manufacturing,Electronics Manufacturing | Bengaluru +87 other locations,3.7k,4.2
Kotak Mahindra Life Insurance Company,141,12.8k, Mumbai ,Insurance,Insurance | Mumbai +257 other locations,3.6k,3.5
Godrej & Boyce Manufacturing,41,15.1k, Mumbai ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Mumbai +169 other locations,3.6k,3.9
Cogent E Services,1,10.3k, Noida ,BPO,BPO | Noida +56 other locations,3.6k,3.1
Samvardhana Motherson Group,24,12.1k, Noida ,Auto Components,Auto Components | Noida +94 other locations,3.6k,3.7
Abbott,189,11.9k, Mumbai ,Pharma,Pharma | Mumbai +214 other locations,3.6k,4.1
Ipca Laboratories,45,11.5k, Mumbai ,Pharma,Pharma | Mumbai +161 other locations,3.6k,3.8
Aarti Industries,57,14.4k, Bharuch ,Agro Chemicals,Agro Chemicals | Bharuch +58 other locations,3.6k,4.1
PhonePe,86,13.3k, Bengaluru ,FinTech,FinTech | Bengaluru +399 other locations,3.6k,4.0
Reliance Projects & Property Management Services,--,7.3k, Kolkata ,Other,Other | Kolkata +623 other locations,3.5k,4.0
Indian Oil Corporation,--,7.8k, New Delhi ,Oil & Gas,Oil & Gas | New Delhi +313 other locations,3.5k,4.4
Reliance Digital,1,7.9k, Mumbai ,Retail,Retail | Mumbai +379 other locations,3.5k,4.2
MRF Tyres,18,12.8k, Chennai ,Auto Components,Auto Components | Chennai +194 other locations,3.5k,3.6
UNO Minda,6,11.4k, Pune ,Auto Components,Auto Components | Pune +110 other locations,3.5k,4.0
IGT Solutions,102,13.6k, New Delhi ,BPO,BPO | New Delhi +47 other locations,3.5k,3.2
Alkem Laboratories,16,9.8k, Mumbai ,Pharma,Pharma | Mumbai +200 other locations,3.5k,3.9
Johnson Controls,3,17.6k, Pune ,Industrial Automation,Industrial Automation | Pune +58 other locations,3.5k,3.5
"NTT DATA, Inc.",93,21.1k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +36 other locations,3.5k,3.9
Honda Motorcycle & Scooter,1,11.1k, Gurugram ,Automobile,Automobile | Gurugram +301 other locations,3.5k,4.1
Blinkit,1,13.1k, Gurugram ,Internet,Internet | Gurugram +151 other locations,3.5k,3.8
ArcelorMittal Nippon Steel,6,12.1k, Surat ,Iron & Steel,Iron & Steel | Surat +86 other locations,3.5k,4.1
[24]7.ai,86,11.7k, Bengaluru ,Software Product,Software Product | Bengaluru +36 other locations,3.4k,3.4
Vishal Mega Mart,4,6.2k, New Delhi ,Retail,Retail | New Delhi +377 other locations,3.4k,3.7
Hindustan Coca Cola Beverages,52,7.7k, Bengaluru ,Beverage,Beverage | Bengaluru +263 other locations,3.4k,4.0
UBS,1,32k, Pune ,Financial Services,Financial Services | Pune +19 other locations,3.4k,3.8
IndusInd Nippon Life Insurance,1,4.7k,N/A,N/A,Mumbai +490 other locations,3.4k,3.4
DTDC Express,28,8.8k, New Delhi ,Logistics,Logistics | New Delhi +272 other locations,3.4k,3.7
ABB,3.1k,18.1k, Bengaluru ,Industrial Machinery,Industrial Machinery | Bengaluru +109 other locations,3.4k,4.0
